type,step,key,value
parameter,0,dataset,wikidata5mpykeen
parameter,0,model.cls,TransE
parameter,0,model.kwargs.embedding_dim,100
parameter,0,optimizer.cls,Adam
parameter,0,optimizer.kwargs,
parameter,0,negative_sampler.cls,BasicNegativeSampler
parameter,0,negative_sampler.kwargs,
parameter,0,training_loop.cls,SLCWATrainingLoop
parameter,0,training.num_epochs,80
parameter,0,training.checkpoint_name,checkpoint_TransE_fullW5M_80epochs.pt
parameter,0,training.checkpoint_frequency,30
parameter,0,training.checkpoint_directory,/hpi/fs00/scratch/lena.schwertmann/pycharm_master_thesis/results/TransE_fullW5M_80epochs/checkpoints
parameter,0,training.checkpoint_on_failure,True
metric,80,inverse_geometric_mean_rank.tail.realistic,0.009247064754030442
metric,80,inverse_geometric_mean_rank.tail.pessimistic,0.009247055737970968
metric,80,inverse_geometric_mean_rank.tail.optimistic,0.009247074003859653
metric,80,inverse_geometric_mean_rank.head.realistic,6.981004133580788e-05
metric,80,inverse_geometric_mean_rank.head.pessimistic,6.980997550691351e-05
metric,80,inverse_geometric_mean_rank.head.optimistic,6.981010718818949e-05
metric,80,inverse_geometric_mean_rank.both.realistic,0.0008034537775838466
metric,80,inverse_geometric_mean_rank.both.pessimistic,0.0008034530070755918
metric,80,inverse_geometric_mean_rank.both.optimistic,0.0008034545583830893
metric,80,inverse_harmonic_mean_rank.tail.realistic,0.10822694239826786
metric,80,inverse_harmonic_mean_rank.tail.pessimistic,0.10822689760134484
metric,80,inverse_harmonic_mean_rank.tail.optimistic,0.1082269995920139
metric,80,inverse_harmonic_mean_rank.head.realistic,0.005439116438277464
metric,80,inverse_harmonic_mean_rank.head.pessimistic,0.00543911577110759
metric,80,inverse_harmonic_mean_rank.head.optimistic,0.005439117109775245
metric,80,inverse_harmonic_mean_rank.both.realistic,0.056833029418272694
metric,80,inverse_harmonic_mean_rank.both.pessimistic,0.056833006686226206
metric,80,inverse_harmonic_mean_rank.both.optimistic,0.05683305835089459
metric,80,inverse_median_rank.tail.realistic,0.010752688172043012
metric,80,inverse_median_rank.tail.pessimistic,0.010752688172043012
metric,80,inverse_median_rank.tail.optimistic,0.010752688172043012
metric,80,inverse_median_rank.head.realistic,5.6721497447532616e-05
metric,80,inverse_median_rank.head.pessimistic,5.6721497447532616e-05
metric,80,inverse_median_rank.head.optimistic,5.6721497447532616e-05
metric,80,inverse_median_rank.both.realistic,0.0005810575246949448
metric,80,inverse_median_rank.both.pessimistic,0.0005810575246949448
metric,80,inverse_median_rank.both.optimistic,0.0005810575246949448
metric,80,rank_std.tail.realistic,28344.235971762904
metric,80,rank_std.tail.pessimistic,28344.250988834367
metric,80,rank_std.tail.optimistic,28344.220954757
